ID;lat;long;altitude;median_water_depth;name;description;aquifer_name;confinement
R48Y4;35.17;-79.41;176.421288;24.920448;Southern Pines 1;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/R48Y4/;Surficial;Unconfined
R49C3;35.239973;-79.4594;128.9977608;7.624572;Eastwood;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/R49C3/;Surficial;Unconfined
R82I1;35.23009;-82.188257;334.9752;8.506968;Columbus;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/R82I1/;Basement rock;Unconfined
S15Y1;35.089831;-76.655676;1.8614136;1.56972;Whortonsville;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S15Y1/;Yorktown;Confined
S15Y2;35.089831;-76.655676;1.9071336;5.13588;Whortonsville;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S15Y2/;Peedee;Confined
S15Y3;35.089831;-76.655676;1.6236696;2.14884;Whortonsville;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S15Y3/;Castle Hayne;Confined
S15Y4;35.089831;-76.655676;1.9528536;2.398776;Whortonsville;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S15Y4/;Castle Hayne;Confined
S15Y6;35.089831;-76.655676;1.9711416;2.075688;Whortonsville;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S15Y6/;Castle Hayne;Confined
S15Y7;35.089831;-76.655676;1.8187416;1.510284;Whortonsville;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S15Y7/;Surficial;Unconfined
S18U10;35.086676;-76.835587;11.707368;10.863072;Arapahoe;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S18U10/;Yorktown;Confined
S18U11;35.086676;-76.835587;12.036552;1.837944;Arapahoe;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S18U11/;Surficial;Unconfined
S18U12;35.086676;-76.835587;12.320016;13.018008;Arapahoe;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S18U12/;Castle Hayne;Confined
S18U3;35.086676;-76.835587;12.32916;10.0584;Arapahoe;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S18U3/;Yorktown;Confined
S18U4;35.086676;-76.835587;11.903964;14.15034;Arapahoe;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S18U4/;Peedee;Confined
